"","x1","x2","y","isolate"
"1","5.16","5℃",0,"A"
"2","5.16","10℃",0,"A"
"3","5.16","15℃",0.9,"A"
"4","5.16","20℃",1.4,"A"
"5","5.16","25℃",2.3,"A"
"6","5.16","30℃",1.95,"A"
"7","5.16","35℃",0.84,"A"
"8","5.16","40℃",0,"A"
"9","5.17","5℃",0,"A"
"10","5.17","10℃",0,"A"
"11","5.17","15℃",1.03,"A"
"12","5.17","20℃",1.59,"A"
"13","5.17","25℃",2.72,"A"
"14","5.17","30℃",2.3,"A"
"15","5.17","35℃",0.95,"A"
"16","5.17","40℃",0,"A"
"17","5.18","5℃",0,"A"
"18","5.18","10℃",0.79,"A"
"19","5.18","15℃",1.23,"A"
"20","5.18","20℃",1.88,"A"
"21","5.18","25℃",3.04,"A"
"22","5.18","30℃",2.53,"A"
"23","5.18","35℃",0.98,"A"
"24","5.18","40℃",0,"A"
"25","5.19","5℃",0.77,"A"
"26","5.19","10℃",0.88,"A"
"27","5.19","15℃",1.38,"A"
"28","5.19","20℃",2.07,"A"
"29","5.19","25℃",3.41,"A"
"30","5.19","30℃",2.78,"A"
"31","5.19","35℃",1,"A"
"32","5.19","40℃",0,"A"
"33","5.2","5℃",0.8,"A"
"34","5.2","10℃",1.23,"A"
"35","5.2","15℃",1.59,"A"
"36","5.2","20℃",2.29,"A"
"37","5.2","25℃",3.93,"A"
"38","5.2","30℃",3.04,"A"
"39","5.2","35℃",1.07,"A"
"40","5.2","40℃",NA,"A"
"41","5.21","5℃",NA,"A"
"42","5.21","10℃",NA,"A"
"43","5.21","15℃",NA,"A"
"44","5.21","20℃",NA,"A"
"45","5.21","25℃",NA,"A"
"46","5.21","30℃",NA,"A"
"47","5.21","35℃",NA,"A"
"48","5.21","40℃",NA,"A"
"49","5.22","5℃",NA,"A"
"50","5.22","10℃",NA,"A"
"51","5.22","15℃",NA,"A"
"52","5.22","20℃",NA,"A"
"53","5.22","25℃",NA,"A"
"54","5.22","30℃",NA,"A"
"55","5.22","35℃",NA,"A"
"56","5.22","40℃",NA,"A"
"57","5.23","5℃",0.78,"A"
"58","5.23","10℃",1.57,"A"
"59","5.23","15℃",1.92,"A"
"60","5.23","20℃",2.76,"A"
"61","5.23","25℃",5.18,"A"
"62","5.23","30℃",3.87,"A"
"63","5.23","35℃",1.24,"A"
"64","5.23","40℃",0,"A"
"65","5.24","5℃",0.85,"A"
"66","5.24","10℃",1.71,"A"
"67","5.24","15℃",2.14,"A"
"68","5.24","20℃",3.06,"A"
"69","5.24","25℃",5.67,"A"
"70","5.24","30℃",4.05,"A"
"71","5.24","35℃",1.23,"A"
"72","5.24","40℃",0,"A"
"73","5.25","5℃",0.92,"A"
"74","5.25","10℃",1.71,"A"
"75","5.25","15℃",2.17,"A"
"76","5.25","20℃",3.26,"A"
"77","5.25","25℃",6.03,"A"
"78","5.25","30℃",4.37,"A"
"79","5.25","35℃",1.31,"A"
"80","5.25","40℃",0,"A"
"81","5.26","5℃",0.95,"A"
"82","5.26","10℃",1.8,"A"
"83","5.26","15℃",2.2,"A"
"84","5.26","20℃",3.39,"A"
"85","5.26","25℃",6.67,"A"
"86","5.26","30℃",4.6,"A"
"87","5.26","35℃",1.43,"A"
"88","5.26","40℃",0,"A"
"89","5.27","5℃",1.05,"A"
"90","5.27","10℃",1.79,"A"
"91","5.27","15℃",2.39,"A"
"92","5.27","20℃",9.78,"A"
"93","5.27","25℃",6.95,"A"
"94","5.27","30℃",4.77,"A"
"95","5.27","35℃",1.63,"A"
"96","5.27","40℃",0,"A"
"97","5.3","5℃",1.22,"A"
"98","5.3","10℃",1.91,"A"
"99","5.3","15℃",2.67,"A"
"100","5.3","20℃",4.06,"A"
"101","5.3","25℃",8.18,"A"
"102","5.3","30℃",5.55,"A"
"103","5.3","35℃",1.73,"A"
"104","5.3","40℃",0,"A"
"105","6.1","5℃",1.29,"A"
"106","6.1","10℃",2.05,"A"
"107","6.1","15℃",2.98,"A"
"108","6.1","20℃",4.48,"A"
"109","6.1","25℃",7.9,"A"
"110","6.1","30℃",6.25,"A"
"111","6.1","35℃",1.98,"A"
"112","6.1","40℃",0,"A"
"113","5.16","5℃",0,"B"
"114","5.16","10℃",0,"B"
"115","5.16","15℃",0,"B"
"116","5.16","20℃",1.12,"B"
"117","5.16","25℃",1.32,"B"
"118","5.16","30℃",1.23,"B"
"119","5.16","35℃",0,"B"
"120","5.16","40℃",0,"B"
"121","5.17","5℃",0,"B"
"122","5.17","10℃",0,"B"
"123","5.17","15℃",0.75,"B"
"124","5.17","20℃",1.33,"B"
"125","5.17","25℃",1.57,"B"
"126","5.17","30℃",1.41,"B"
"127","5.17","35℃",0,"B"
"128","5.17","40℃",0,"B"
"129","5.18","5℃",0,"B"
"130","5.18","10℃",0.53,"B"
"131","5.18","15℃",0.84,"B"
"132","5.18","20℃",1.56,"B"
"133","5.18","25℃",1.81,"B"
"134","5.18","30℃",1.56,"B"
"135","5.18","35℃",0,"B"
"136","5.18","40℃",0,"B"
"137","5.19","5℃",0.22,"B"
"138","5.19","10℃",0.65,"B"
"139","5.19","15℃",1,"B"
"140","5.19","20℃",1.83,"B"
"141","5.19","25℃",2.03,"B"
"142","5.19","30℃",1.75,"B"
"143","5.19","35℃",0,"B"
"144","5.19","40℃",0,"B"
"145","5.2","5℃",0.65,"B"
"146","5.2","10℃",0.7,"B"
"147","5.2","15℃",1.12,"B"
"148","5.2","20℃",2.05,"B"
"149","5.2","25℃",2.28,"B"
"150","5.2","30℃",2,"B"
"151","5.2","35℃",0,"B"
"152","5.2","40℃",0,"B"
"153","5.21","5℃",NA,"B"
"154","5.21","10℃",NA,"B"
"155","5.21","15℃",NA,"B"
"156","5.21","20℃",NA,"B"
"157","5.21","25℃",NA,"B"
"158","5.21","30℃",NA,"B"
"159","5.21","35℃",NA,"B"
"160","5.21","40℃",NA,"B"
"161","5.22","5℃",NA,"B"
"162","5.22","10℃",NA,"B"
"163","5.22","15℃",NA,"B"
"164","5.22","20℃",NA,"B"
"165","5.22","25℃",NA,"B"
"166","5.22","30℃",NA,"B"
"167","5.22","35℃",NA,"B"
"168","5.22","40℃",NA,"B"
"169","5.23","5℃",0.76,"B"
"170","5.23","10℃",0.96,"B"
"171","5.23","15℃",1.58,"B"
"172","5.23","20℃",2.77,"B"
"173","5.23","25℃",2.99,"B"
"174","5.23","30℃",2.71,"B"
"175","5.23","35℃",0,"B"
"176","5.23","40℃",0,"B"
"177","5.24","5℃",0.76,"B"
"178","5.24","10℃",1.12,"B"
"179","5.24","15℃",1.76,"B"
"180","5.24","20℃",3.04,"B"
"181","5.24","25℃",3.27,"B"
"182","5.24","30℃",2.81,"B"
"183","5.24","35℃",0,"B"
"184","5.24","40℃",0,"B"
"185","5.25","5℃",0.82,"B"
"186","5.25","10℃",1.24,"B"
"187","5.25","15℃",1.95,"B"
"188","5.25","20℃",3.31,"B"
"189","5.25","25℃",3.48,"B"
"190","5.25","30℃",3.04,"B"
"191","5.25","35℃",0,"B"
"192","5.25","40℃",0,"B"
"193","5.26","5℃",0.86,"B"
"194","5.26","10℃",1.32,"B"
"195","5.26","15℃",2.11,"B"
"196","5.26","20℃",3.53,"B"
"197","5.26","25℃",3.7,"B"
"198","5.26","30℃",3.19,"B"
"199","5.26","35℃",0,"B"
"200","5.26","40℃",0,"B"
"201","5.27","5℃",0.91,"B"
"202","5.27","10℃",1.78,"B"
"203","5.27","15℃",2.31,"B"
"204","5.27","20℃",3.74,"B"
"205","5.27","25℃",3.99,"B"
"206","5.27","30℃",3.4,"B"
"207","5.27","35℃",0,"B"
"208","5.27","40℃",0,"B"
"209","5.3","5℃",1.16,"B"
"210","5.3","10℃",1.75,"B"
"211","5.3","15℃",2.85,"B"
"212","5.3","20℃",4.33,"B"
"213","5.3","25℃",4.79,"B"
"214","5.3","30℃",4.02,"B"
"215","5.3","35℃",0,"B"
"216","5.3","40℃",0,"B"
"217","6.1","5℃",1.27,"B"
"218","6.1","10℃",1.87,"B"
"219","6.1","15℃",3.36,"B"
"220","6.1","20℃",4.72,"B"
"221","6.1","25℃",5.48,"B"
"222","6.1","30℃",4.51,"B"
"223","6.1","35℃",0,"B"
"224","6.1","40℃",0,"B"
"225","5.16","5℃",0,"C"
"226","5.16","10℃",0,"C"
"227","5.16","15℃",1.05,"C"
"228","5.16","20℃",1.55,"C"
"229","5.16","25℃",1.94,"C"
"230","5.16","30℃",1.8,"C"
"231","5.16","35℃",0,"C"
"232","5.16","40℃",0,"C"
"233","5.17","5℃",0,"C"
"234","5.17","10℃",0,"C"
"235","5.17","15℃",1.26,"C"
"236","5.17","20℃",1.76,"C"
"237","5.17","25℃",2.23,"C"
"238","5.17","30℃",1.99,"C"
"239","5.17","35℃",0,"C"
"240","5.17","40℃",0,"C"
"241","5.18","5℃",0,"C"
"242","5.18","10℃",0.91,"C"
"243","5.18","15℃",1.39,"C"
"244","5.18","20℃",2,"C"
"245","5.18","25℃",2.43,"C"
"246","5.18","30℃",2.19,"C"
"247","5.18","35℃",0,"C"
"248","5.18","40℃",0,"C"
"249","5.19","5℃",0.74,"C"
"250","5.19","10℃",0.97,"C"
"251","5.19","15℃",1.58,"C"
"252","5.19","20℃",2.16,"C"
"253","5.19","25℃",2.82,"C"
"254","5.19","30℃",2.44,"C"
"255","5.19","35℃",0,"C"
"256","5.19","40℃",0,"C"
"257","5.2","5℃",1,"C"
"258","5.2","10℃",1.12,"C"
"259","5.2","15℃",1.71,"C"
"260","5.2","20℃",2.33,"C"
"261","5.2","25℃",3.14,"C"
"262","5.2","30℃",2.6,"C"
"263","5.2","35℃",0,"C"
"264","5.2","40℃",0,"C"
"265","5.21","5℃",NA,"C"
"266","5.21","10℃",NA,"C"
"267","5.21","15℃",NA,"C"
"268","5.21","20℃",NA,"C"
"269","5.21","25℃",NA,"C"
"270","5.21","30℃",NA,"C"
"271","5.21","35℃",NA,"C"
"272","5.21","40℃",NA,"C"
"273","5.22","5℃",NA,"C"
"274","5.22","10℃",NA,"C"
"275","5.22","15℃",NA,"C"
"276","5.22","20℃",NA,"C"
"277","5.22","25℃",NA,"C"
"278","5.22","30℃",NA,"C"
"279","5.22","35℃",NA,"C"
"280","5.22","40℃",NA,"C"
"281","5.23","5℃",1.04,"C"
"282","5.23","10℃",1.4,"C"
"283","5.23","15℃",2.01,"C"
"284","5.23","20℃",2.76,"C"
"285","5.23","25℃",3.99,"C"
"286","5.23","30℃",3.28,"C"
"287","5.23","35℃",0,"C"
"288","5.23","40℃",0,"C"
"289","5.24","5℃",1.08,"C"
"290","5.24","10℃",1.55,"C"
"291","5.24","15℃",2.16,"C"
"292","5.24","20℃",2.95,"C"
"293","5.24","25℃",4.27,"C"
"294","5.24","30℃",3.48,"C"
"295","5.24","35℃",0,"C"
"296","5.24","40℃",0,"C"
"297","5.25","5℃",1.06,"C"
"298","5.25","10℃",1.53,"C"
"299","5.25","15℃",2.26,"C"
"300","5.25","20℃",3.14,"C"
"301","5.25","25℃",4.58,"C"
"302","5.25","30℃",3.66,"C"
"303","5.25","35℃",0,"C"
"304","5.25","40℃",0,"C"
"305","5.26","5℃",1.11,"C"
"306","5.26","10℃",1.59,"C"
"307","5.26","15℃",2.37,"C"
"308","5.26","20℃",3.35,"C"
"309","5.26","25℃",4.77,"C"
"310","5.26","30℃",3.84,"C"
"311","5.26","35℃",0,"C"
"312","5.26","40℃",0,"C"
"313","5.27","5℃",1.2,"C"
"314","5.27","10℃",1.68,"C"
"315","5.27","15℃",2.5,"C"
"316","5.27","20℃",3.57,"C"
"317","5.27","25℃",5.08,"C"
"318","5.27","30℃",4.01,"C"
"319","5.27","35℃",0,"C"
"320","5.27","40℃",0,"C"
"321","5.3","5℃",1.35,"C"
"322","5.3","10℃",1.8,"C"
"323","5.3","15℃",2.89,"C"
"324","5.3","20℃",4.27,"C"
"325","5.3","25℃",5.79,"C"
"326","5.3","30℃",4.69,"C"
"327","5.3","35℃",0,"C"
"328","5.3","40℃",0,"C"
"329","6.1","5℃",1.45,"C"
"330","6.1","10℃",1.92,"C"
"331","6.1","15℃",3.15,"C"
"332","6.1","20℃",4.67,"C"
"333","6.1","25℃",6.23,"C"
"334","6.1","30℃",5.11,"C"
"335","6.1","35℃",0,"C"
"336","6.1","40℃",0,"C"
"337","5.16","5℃",0,"D"
"338","5.16","10℃",0,"D"
"339","5.16","15℃",0.8,"D"
"340","5.16","20℃",1.62,"D"
"341","5.16","25℃",2.11,"D"
"342","5.16","30℃",1.32,"D"
"343","5.16","35℃",0,"D"
"344","5.16","40℃",0,"D"
"345","5.17","5℃",0,"D"
"346","5.17","10℃",0,"D"
"347","5.17","15℃",1.02,"D"
"348","5.17","20℃",1.89,"D"
"349","5.17","25℃",2.7,"D"
"350","5.17","30℃",1.51,"D"
"351","5.17","35℃",0,"D"
"352","5.17","40℃",0,"D"
"353","5.18","5℃",0,"D"
"354","5.18","10℃",0.98,"D"
"355","5.18","15℃",1.2,"D"
"356","5.18","20℃",2.1,"D"
"357","5.18","25℃",3.2,"D"
"358","5.18","30℃",1.74,"D"
"359","5.18","35℃",0,"D"
"360","5.18","40℃",0,"D"
"361","5.19","5℃",0,"D"
"362","5.19","10℃",0.95,"D"
"363","5.19","15℃",1.4,"D"
"364","5.19","20℃",2.38,"D"
"365","5.19","25℃",3.71,"D"
"366","5.19","30℃",1.92,"D"
"367","5.19","35℃",0,"D"
"368","5.19","40℃",0,"D"
"369","5.2","5℃",0.29,"D"
"370","5.2","10℃",1.09,"D"
"371","5.2","15℃",1.59,"D"
"372","5.2","20℃",2.62,"D"
"373","5.2","25℃",4.25,"D"
"374","5.2","30℃",2.1,"D"
"375","5.2","35℃",0,"D"
"376","5.2","40℃",0,"D"
"377","5.21","5℃",NA,"D"
"378","5.21","10℃",NA,"D"
"379","5.21","15℃",NA,"D"
"380","5.21","20℃",NA,"D"
"381","5.21","25℃",NA,"D"
"382","5.21","30℃",NA,"D"
"383","5.21","35℃",NA,"D"
"384","5.21","40℃",NA,"D"
"385","5.22","5℃",NA,"D"
"386","5.22","10℃",NA,"D"
"387","5.22","15℃",NA,"D"
"388","5.22","20℃",NA,"D"
"389","5.22","25℃",NA,"D"
"390","5.22","30℃",NA,"D"
"391","5.22","35℃",NA,"D"
"392","5.22","40℃",NA,"D"
"393","5.23","5℃",0.73,"D"
"394","5.23","10℃",1.38,"D"
"395","5.23","15℃",2.04,"D"
"396","5.23","20℃",3.28,"D"
"397","5.23","25℃",5.75,"D"
"398","5.23","30℃",2.63,"D"
"399","5.23","35℃",0,"D"
"400","5.23","40℃",0,"D"
"401","5.24","5℃",0.79,"D"
"402","5.24","10℃",1.54,"D"
"403","5.24","15℃",2.24,"D"
"404","5.24","20℃",3.47,"D"
"405","5.24","25℃",6.23,"D"
"406","5.24","30℃",2.85,"D"
"407","5.24","35℃",0,"D"
"408","5.24","40℃",0,"D"
"409","5.25","5℃",0.78,"D"
"410","5.25","10℃",1.63,"D"
"411","5.25","15℃",2.36,"D"
"412","5.25","20℃",3.64,"D"
"413","5.25","25℃",6.71,"D"
"414","5.25","30℃",3.01,"D"
"415","5.25","35℃",0,"D"
"416","5.25","40℃",0,"D"
"417","5.26","5℃",0.79,"D"
"418","5.26","10℃",1.64,"D"
"419","5.26","15℃",2.51,"D"
"420","5.26","20℃",3.79,"D"
"421","5.26","25℃",7.13,"D"
"422","5.26","30℃",3.1,"D"
"423","5.26","35℃",0,"D"
"424","5.26","40℃",0,"D"
"425","5.27","5℃",0.85,"D"
"426","5.27","10℃",1.78,"D"
"427","5.27","15℃",2.68,"D"
"428","5.27","20℃",4.33,"D"
"429","5.27","25℃",7.52,"D"
"430","5.27","30℃",3.33,"D"
"431","5.27","35℃",0,"D"
"432","5.27","40℃",0,"D"
"433","5.3","5℃",1.02,"D"
"434","5.3","10℃",1.98,"D"
"435","5.3","15℃",3.13,"D"
"436","5.3","20℃",5.03,"D"
"437","5.3","25℃",8.5,"D"
"438","5.3","30℃",4.02,"D"
"439","5.3","35℃",0,"D"
"440","5.3","40℃",0,"D"
"441","6.1","5℃",1.07,"D"
"442","6.1","10℃",2.13,"D"
"443","6.1","15℃",3.42,"D"
"444","6.1","20℃",5.43,"D"
"445","6.1","25℃",8.7,"D"
"446","6.1","30℃",4.52,"D"
"447","6.1","35℃",0,"D"
"448","6.1","40℃",0,"D"
"449","5.16","5℃",0,"E"
"450","5.16","10℃",0,"E"
"451","5.16","15℃",1.01,"E"
"452","5.16","20℃",1.23,"E"
"453","5.16","25℃",2.12,"E"
"454","5.16","30℃",1.93,"E"
"455","5.16","35℃",1,"E"
"456","5.16","40℃",0,"E"
"457","5.17","5℃",0,"E"
"458","5.17","10℃",0,"E"
"459","5.17","15℃",1.22,"E"
"460","5.17","20℃",1.43,"E"
"461","5.17","25℃",2.46,"E"
"462","5.17","30℃",2.26,"E"
"463","5.17","35℃",1,"E"
"464","5.17","40℃",0,"E"
"465","5.18","5℃",0,"E"
"466","5.18","10℃",0.86,"E"
"467","5.18","15℃",1.33,"E"
"468","5.18","20℃",1.66,"E"
"469","5.18","25℃",2.79,"E"
"470","5.18","30℃",2.6,"E"
"471","5.18","35℃",1.05,"E"
"472","5.18","40℃",0,"E"
"473","5.19","5℃",0.61,"E"
"474","5.19","10℃",0.96,"E"
"475","5.19","15℃",1.43,"E"
"476","5.19","20℃",1.87,"E"
"477","5.19","25℃",3.16,"E"
"478","5.19","30℃",2.91,"E"
"479","5.19","35℃",1.13,"E"
"480","5.19","40℃",0,"E"
"481","5.2","5℃",0.65,"E"
"482","5.2","10℃",1.15,"E"
"483","5.2","15℃",1.61,"E"
"484","5.2","20℃",2.07,"E"
"485","5.2","25℃",3.6,"E"
"486","5.2","30℃",3.19,"E"
"487","5.2","35℃",1.18,"E"
"488","5.2","40℃",0,"E"
"489","5.21","5℃",NA,"E"
"490","5.21","10℃",NA,"E"
"491","5.21","15℃",NA,"E"
"492","5.21","20℃",NA,"E"
"493","5.21","25℃",NA,"E"
"494","5.21","30℃",NA,"E"
"495","5.21","35℃",NA,"E"
"496","5.21","40℃",NA,"E"
"497","5.22","5℃",NA,"E"
"498","5.22","10℃",NA,"E"
"499","5.22","15℃",NA,"E"
"500","5.22","20℃",NA,"E"
"501","5.22","25℃",NA,"E"
"502","5.22","30℃",NA,"E"
"503","5.22","35℃",NA,"E"
"504","5.22","40℃",NA,"E"
"505","5.23","5℃",0.69,"E"
"506","5.23","10℃",1.34,"E"
"507","5.23","15℃",2,"E"
"508","5.23","20℃",2.69,"E"
"509","5.23","25℃",4.72,"E"
"510","5.23","30℃",3.95,"E"
"511","5.23","35℃",1.22,"E"
"512","5.23","40℃",0,"E"
"513","5.24","5℃",0.7,"E"
"514","5.24","10℃",1.45,"E"
"515","5.24","15℃",2.21,"E"
"516","5.24","20℃",2.9,"E"
"517","5.24","25℃",5,"E"
"518","5.24","30℃",4.26,"E"
"519","5.24","35℃",1.25,"E"
"520","5.24","40℃",0,"E"
"521","5.25","5℃",0.72,"E"
"522","5.25","10℃",1.52,"E"
"523","5.25","15℃",2.34,"E"
"524","5.25","20℃",3.12,"E"
"525","5.25","25℃",5.45,"E"
"526","5.25","30℃",4.54,"E"
"527","5.25","35℃",1.31,"E"
"528","5.25","40℃",0,"E"
"529","5.26","5℃",0.94,"E"
"530","5.26","10℃",1.58,"E"
"531","5.26","15℃",4.84,"E"
"532","5.26","20℃",3.34,"E"
"533","5.26","25℃",5.74,"E"
"534","5.26","30℃",4.73,"E"
"535","5.26","35℃",1.39,"E"
"536","5.26","40℃",0,"E"
"537","5.27","5℃",0.98,"E"
"538","5.27","10℃",1.65,"E"
"539","5.27","15℃",2.59,"E"
"540","5.27","20℃",3.44,"E"
"541","5.27","25℃",6.13,"E"
"542","5.27","30℃",5,"E"
"543","5.27","35℃",1.46,"E"
"544","5.27","40℃",0,"E"
"545","5.3","5℃",1.18,"E"
"546","5.3","10℃",1.94,"E"
"547","5.3","15℃",3,"E"
"548","5.3","20℃",4,"E"
"549","5.3","25℃",7.18,"E"
"550","5.3","30℃",5.85,"E"
"551","5.3","35℃",1.85,"E"
"552","5.3","40℃",0,"E"
"553","6.1","5℃",1.19,"E"
"554","6.1","10℃",2.06,"E"
"555","6.1","15℃",3.49,"E"
"556","6.1","20℃",4,"E"
"557","6.1","25℃",7.48,"E"
"558","6.1","30℃",6.68,"E"
"559","6.1","35℃",2.11,"E"
"560","6.1","40℃",0,"E"
